threshold,stage1 thr-only,stage1 + owner,stage2 thr-only,stage2 + owner
0.3,0.9603253675767386,0.9606381850635971,0.9666581207519847,0.9667399109751121
0.35,0.9634615304255059,0.9636614768026743,0.9688818219173155,0.9689417615965461
0.4,0.9657595639680836,0.9658990139323221,0.9703845430675018,0.9704210575330633
0.45,0.9674170348551183,0.9675316720687908,0.9715567442528319,0.9715705813960543
0.5,0.9687273730415586,0.9688050143474534,0.9725154276669068,0.9725163329296624
0.55,0.9695744522768981,0.969643254191952,0.9731718441847557,0.9731718441847557
0.6,0.9703402023170364,0.9703921637249078,0.9736427952090718,0.9736427952090718
0.65,0.9708540642359731,0.9708904851813531,0.9738972307594134,0.9738972307594134
0.7,0.971173994406522,0.9712104153519019,0.9738879091062707,0.9738879091062707
0.75,0.9711886254541796,0.9712189392538055,0.9738144169992988,0.9738144169992988
0.8,0.9708253276906893,0.9708426795035974,0.9735273238040999,0.9735273238040999
0.85,0.970038943973969,0.9700439002342213,0.9727920859662907,0.9727920859662907
0.9,0.9681308469716738,0.9681358032319263,0.9715248576949079,0.9715248576949079
0.95,0.9631628232031366,0.963167779463389,0.9679987993701488,0.9679987993701488
